similarity,prob_exact_p0,prob_exact_p1,prob_partial_p0,prob_partial_p1
0.9997409603617213,1.0780741283770672e-06,0.0,1.537491735981919e-05,7.687458679909595e-06
0.9997412769405453,1.085594808251389e-06,0.0,1.537491735981919e-05,7.687458679909595e-06
0.9997415935193693,1.0951918885707966e-06,0.0,1.537491735981919e-05,7.687458679909595e-06
0.9997419100981932,1.1037771253228547e-06,0.0,1.537491735981919e-05,7.687458679909595e-06
0.9997422266770173,1.1155895835169408e-06,0.0,1.537491735981919e-05,7.687458679909595e-06
0.9997425432558413,1.126501626668349e-06,0.0,1.537491735981919e-05,7.687458679909595e-06
0.9997428598346653,1.1354204632288405e-06,0.0,1.537491735981919e-05,7.687458679909595e-06
0.9997431764134893,1.147514082866582e-06,0.0,1.614439547311151e-05,7.687458679909595e-06
0.9997434929923132,1.1587297540943715e-06,0.0,1.8780400773752512e-05,7.687458679909595e-06
0.9997438095711373,1.168689863602206e-06,0.0,2.1801691811284556e-05,7.687458679909595e-06
0.9997441261499613,1.182526515200787e-06,0.0,2.671482459046174e-05,7.687458679909595e-06
0.9997444427287853,1.1955372983726346e-06,0.0,2.7144211768282532e-05,7.687458679909595e-06
0.9997447593076093,1.2064006794448626e-06,0.0,2.751066955467562e-05,7.687458679909595e-06
0.9997450758864334,1.2206018055141908e-06,0.0,2.8003569521661696e-05,7.687458679909595e-06
0.9997453924652573,1.2345282744010687e-06,0.0,2.8494953543727405e-05,7.687458679909595e-06
0.9997457090440813,1.2467739723465533e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997460256229053,1.2630233495126624e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997463422017293,1.2789555537365966e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997466587805534,1.2924304930880818e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997469753593773,1.310227901041107e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997472919382013,1.3293223247720544e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
0.9997476085170254,1.3438873284863796e-06,0.0,2.8542939998934395e-05,2.664007733233877e-05
